stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
NEILWASH:1,,Neil & Washington (NE Corner),,40.11997667,-88.243385,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/neilwash,0,
MPLPKSANG:2,,Maplepark & Sangamon (SE Corner),,40.101983,-88.29427699999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mplpksang,0,
FLVIN:2,,Florida & Vine (SE Corner),,40.09823500000001,-88.20482,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flvin,0,
WDSRPSPCT:1,,Windsor & Prospect (NE Corner),,40.08368167,-88.25718166999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsrpspct,0,
FOXWDSR:5,,Fox & Windsor (NE Far Side),,40.08409118652344,-88.24961,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/foxwdsr,0,
WDSRWNCH:1,,Windsor & Winchester (NE Corner),,40.08380167,-88.28120833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsrwnch,0,
MNGLVR:3,,Main & Glover (SW Corner),,40.112905,-88.19355167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnglvr,0,
BRADMCNLY:3,,Bradley & McKinley (SW Corner),,40.12719167,-88.26299667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradmcnly,0,
JOHNCHI:3,,John & Chicago (SW Corner),,40.10895333,-88.26378833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnchi,0,
UNIVCTR:3,,University & Victor (SW Corner),,40.11636167000001,-88.27498,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/univctr,0,
MPLPKALTN:2,,Maplepark & Alton (SE Corner),,40.102714,-88.29428799999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mplpkaltn,0,
2NDPK:2,,Second & Park (SE Corner),,40.11721167000001,-88.23700667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/2ndpk,0,
LNCLNOR:4,,Lincoln & Oregon (NW Corner),,40.10714667,-88.21934,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lnclnor,0,
