route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
RUBY EVENING,RUB2SCH,[@15.0.64613606@][2][1339515200981]/92__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64613606@]2
RUBY EVENING,RUB2SCH,[@15.0.64613606@][1][1339515184324]/81__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64613606@]1
RUBY EVENING,RUB2SCH,[@15.0.64613606@][2][1339515200981]/93__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64613606@]2
RUBY EVENING,RUB2SCH,[@15.0.64613606@][1][1339515184324]/83__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64613606@]1
RUBY EVENING,RUB2SCH,[@15.0.64613606@][2][1339515200981]/95__RUB2SCH,SOUTH - LINCOLN SQUARE,1,RUB2SCH,[@15.0.64613606@]4
RUBY EVENING,RUB2SCH,[@15.0.64613606@][1][1339515184324]/85__RUB2SCH,NORTH - CUNNINGHAM,0,RUB2SCH,[@15.0.64613606@]3
GOLD,B3 WED,[@7.0.41203042@][3][1246643938906]/0__B3_WED,EAST - EASTERN & PERKINS,0,B3 WED,GOLD 1
GOLD,B3 WED,[@7.0.41203042@][3][1246643938906]/1__B3_WED,EAST - EASTERN & PERKINS,0,B3 WED,[@15.0.63191692@]2
GREEN,B3 WED,[@35.0.26091081@][3][1168637075003]/1__B3_WED,EAST - COUNTRY SQUIRE,0,B3 WED,SCWD UMS
NAVY,N3MF,[@7.0.41873735@][3][1248386146250]/2__N3MF,WEST - WEST CHAMPAIGN,0,N3MF,NAVY 49
NAVY,N3MF,[@7.0.41873735@][4][1244832322359]/4__N3MF,WEST - WEST CHAMPAIGN,1,N3MF,NAVY 5
NAVY,N3MF,[@7.0.41873735@][4][1244832322359]/5__N3MF,WEST - WEST CHAMPAIGN,1,N3MF,NAVY 5
NAVY,N3MF,[@7.0.41873735@][4][1244832322359]/6__N3MF,WEST - WEST CHAMPAIGN,1,N3MF,NAVY 5
BROWN ALT PM,GR3-3 SCHWED,[@15.0.61734120@][10][1328801953874]/1__GR3-3_SCHWED,DEVONSHIRE EXPRESS,0,GR3-3 SCHWED,[@15.0.61734120@]240
LAVENDER,SV4 SCH WED,[@14.0.56289853@][2][1314643979349]/0__SV4_SCH_WED,SOUTH - STATE & GREEN,1,SV4 SCH WED,[@14.0.56289853@]885
NAVY,N2,[@15.0.63192267@][3][1343331370572]/1__N2,EAST - CAMPUS,0,N2,NAVY 50
NAVY,N2,[@7.0.41873735@][3][1244830861312]/0__N2,EAST - CAMPUS,0,N2,NAVY 1
NAVY,N2,[@7.0.41873735@][3][1244830993656]/1__N2,EAST - CAMPUS,0,N2,NAVY 1
NAVY,N2,[@7.0.41873735@][3][1244830993656]/2__N2,EAST - CAMPUS,0,N2,NAVY 1
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1309549499464]/3__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,[@14.0.57586460@]38
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/25__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/26__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/27__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/28__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/29__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/30__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/31__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/32__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/33__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144647969]/34__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/35__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/36__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/37__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/38__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/39__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/40__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/41__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/42__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/43__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144686503]/44__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144709042]/45__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
LIME WEEKEND,LMBSA,[@14.0.57586460@][20][1305144709042]/46__LMBSA,B - WINDSOR & DUNCAN,1,LMBSA,L152
